"cne","filiere","niveau","nbrAbsences","nbrRapportsMauvaiseConduite","nbrRapportsTriche"
"1","Indus","3","5","2","2"
"2","Finance","2","3","2","1"
"3","Finance","2","5","3","0"
"4","Electrique","1","3","0","1"
"5","Civil","1","1","3","2"
"6","Finance","2","4","1","0"
"7","Info","2","0","3","1"
"8","Electrique","1","4","1","0"
"9","Electrique","2","4","1","0"
"10","Finance","2","4","2","0"
"11","Finance","2","5","2","0"
"12","Electrique","1","0","1","0"
"13","Electrique","2","5","1","1"
"14","Info","1","4","2","0"
"15","Electrique","3","2","2","0"
"16","Info","1","0","2","0"
"17","Electrique","3","4","0","0"
"18","Finance","3","2","0","1"
"19","Info","2","4","2","0"
"20","Civil","3","3","3","2"
"21","Electrique","3","0","2","0"
"22","Info","1","5","2","0"
"23","Electrique","1","5","0","2"
"24","Info","2","3","3","2"
"25","Indus","1","4","1","1"
"26","Electrique","1","3","1","0"
"27","Civil","3","4","0","1"
"28","Finance","1","2","0","2"
"29","Electrique","1","4","0","0"
"30","Indus","2","3","2","0"
"31","Civil","1","2","2","2"
"32","Civil","1","5","2","1"
"33","Indus","3","1","2","0"
"34","Finance","1","0","1","0"
"35","Civil","3","0","1","1"
"36","Civil","2","5","3","1"
"37","Info","2","5","0","1"
"38","Info","2","4","1","2"
"39","Finance","2","5","2","2"
"40","Civil","1","0","3","2"
"41","Electrique","2","1","3","2"
"42","Indus","2","1","0","2"
"43","Indus","2","0","3","1"
"44","Indus","3","3","1","0"
"45","Info","1","1","1","1"
"46","Indus","3","3","0","2"
"47","Civil","2","1","1","0"
"48","Indus","3","2","1","2"
"49","Indus","1","4","3","2"
"50","Electrique","1","5","1","0"
"51","Finance","1","3","0","1"
"52","Electrique","1","0","2","0"
"53","Finance","1","2","2","2"
"54","Finance","1","3","1","1"
"55","Info","2","2","0","0"
"56","Electrique","3","5","2","1"
"57","Finance","2","4","0","0"
"58","Finance","2","3","0","2"
"59","Info","2","2","2","1"
"60","Civil","2","0","2","1"
"61","Electrique","2","0","0","0"
"62","Indus","1","3","0","1"
"63","Electrique","1","3","1","2"
"64","Electrique","2","3","0","2"
"65","Finance","3","3","3","2"
"66","Info","1","0","0","0"
"67","Electrique","1","0","3","0"
"68","Finance","3","4","3","2"
"69","Civil","3","0","2","0"
"70","Info","2","1","2","1"
"71","Electrique","2","5","2","2"
"72","Electrique","3","3","0","0"
"73","Electrique","3","2","3","2"
"74","Civil","1","4","2","1"
"75","Finance","1","0","2","0"
"76","Finance","2","1","3","0"
"77","Info","3","5","2","1"
"78","Info","1","5","2","0"
"79","Finance","1","0","2","2"
"80","Finance","1","5","0","1"
"81","Info","1","5","2","1"
"82","Finance","2","0","0","1"
"83","Info","1","1","1","1"
"84","Civil","2","5","3","0"
"85","Info","3","3","1","1"
"86","Civil","1","2","3","2"
"87","Electrique","1","1","0","0"
"88","Info","1","2","3","2"
"89","Civil","2","0","3","0"
"90","Finance","3","4","0","0"
"91","Indus","2","3","2","0"
"92","Electrique","3","5","2","1"
"93","Civil","2","3","0","0"
"94","Electrique","1","4","0","2"
"95","Civil","2","2","1","1"
"96","Info","1","4","0","1"
"97","Electrique","3","2","3","2"
"98","Info","2","3","0","0"
"99","Indus","3","5","0","2"
"100","Indus","3","1","1","2"
"101","Indus","2","2","3","0"
"102","Finance","2","4","2","1"
"103","Finance","3","4","2","0"
"104","Civil","1","0","1","1"
"105","Info","2","0","0","1"
"106","Electrique","2","3","3","0"
"107","Finance","2","1","0","2"
"108","Info","3","3","0","2"
"109","Finance","1","1","1","2"
"110","Indus","3","2","1","0"
"111","Civil","3","4","0","0"
"112","Finance","1","5","0","1"
"113","Civil","3","0","1","0"
"114","Indus","3","3","2","0"
"115","Indus","3","5","1","0"
"116","Info","2","1","3","1"
"117","Finance","3","2","2","1"
"118","Info","2","4","1","0"
"119","Civil","2","3","2","2"
"120","Electrique","1","5","3","1"
"121","Indus","2","4","2","0"
"122","Electrique","1","5","3","1"
"123","Indus","2","5","2","1"
"124","Info","3","3","2","2"
"125","Electrique","3","2","2","2"
"126","Finance","1","0","1","0"
"127","Civil","1","5","0","0"
"128","Civil","3","4","3","2"
"129","Electrique","2","0","2","1"
"130","Electrique","3","3","3","0"
"131","Civil","2","3","0","2"
"132","Info","1","1","1","2"
"133","Civil","2","3","0","1"
"134","Info","2","5","1","0"
"135","Indus","1","3","3","1"
"136","Info","2","1","2","1"
"137","Electrique","2","0","1","0"
"138","Indus","1","5","3","2"
"139","Info","2","3","1","2"
"140","Civil","2","5","1","2"
"141","Indus","3","2","2","2"
"142","Finance","3","4","2","1"
"143","Info","1","2","1","2"
"144","Civil","1","3","0","0"
"145","Electrique","1","1","0","2"
"146","Civil","2","4","3","0"
"147","Electrique","2","3","0","2"
"148","Info","2","0","2","1"
"149","Electrique","2","1","2","0"
"150","Electrique","1","5","3","0"
"151","Indus","3","0","1","1"
"152","Civil","1","3","0","2"
"153","Electrique","2","4","1","0"
"154","Finance","3","5","3","2"
"155","Civil","3","2","0","0"
"156","Finance","3","2","3","0"
"157","Indus","3","1","2","2"
"158","Electrique","2","4","2","2"
"159","Info","3","3","1","0"
"160","Info","1","3","0","2"
"161","Info","1","2","0","2"
"162","Info","3","5","0","1"
"163","Electrique","3","0","2","2"
"164","Civil","2","1","0","2"
"165","Electrique","2","2","1","1"
"166","Indus","3","5","0","2"
"167","Civil","2","0","3","0"
"168","Finance","1","1","3","0"
"169","Info","1","5","3","0"
"170","Info","3","3","0","2"
"171","Indus","3","4","0","0"
"172","Finance","1","0","1","2"
"173","Electrique","3","1","0","1"
"174","Info","1","3","2","2"
"175","Indus","1","2","1","2"
"176","Electrique","2","1","0","1"
"177","Electrique","3","0","0","1"
"178","Info","1","0","2","0"
"179","Indus","1","2","2","1"
"180","Indus","1","2","2","0"
"181","Indus","3","2","1","1"
"182","Indus","2","2","1","0"
"183","Finance","3","5","3","0"
"184","Finance","3","2","3","1"
"185","Finance","2","0","0","0"
"186","Electrique","3","5","0","0"
"187","Civil","1","0","0","1"
"188","Indus","3","1","3","2"
"189","Finance","2","2","1","1"
"190","Info","2","4","3","1"
"191","Electrique","3","0","3","2"
"192","Info","1","4","2","2"
"193","Civil","2","1","1","2"
"194","Finance","2","2","1","1"
"195","Civil","1","1","3","0"
"196","Indus","1","5","0","1"
"197","Indus","2","1","3","1"
"198","Indus","2","0","3","0"
"199","Finance","2","5","1","2"
"200","Info","1","5","3","0"
"201","Electrique","2","3","2","0"
"202","Civil","2","4","2","2"
"203","Info","3","1","0","0"
"204","Electrique","2","0","0","1"
"205","Finance","3","5","1","0"
"206","Electrique","3","2","2","0"
"207","Info","1","0","3","2"
"208","Civil","2","3","3","2"
"209","Civil","2","0","1","2"
"210","Finance","1","4","0","1"
"211","Finance","3","3","2","1"
"212","Finance","1","5","1","0"
"213","Finance","2","5","0","2"
"214","Electrique","1","4","1","1"
"215","Finance","3","4","2","0"
"216","Finance","2","0","3","0"
"217","Civil","1","2","2","0"
"218","Electrique","3","0","1","0"
"219","Electrique","2","2","1","0"
"220","Civil","1","2","2","1"
"221","Civil","1","0","3","1"
"222","Info","2","0","0","1"
"223","Electrique","3","5","3","0"
"224","Finance","3","3","0","1"
