"cne","filiere","niveau","noteS1","noteS2","noteS3","noteS4","noteS5","noteS6"
"1","Indus","3","10","13","9","17","18","12"
"2","Finance","2","16","12","19","12","9","10"
"3","Finance","2","15","11","11","20","19","9"
"4","Electrique","1","14","18","13","13","20","15"
"5","Civil","1","15","17","15","19","15","11"
"6","Finance","2","14","16","9","13","10","17"
"7","Info","2","19","15","19","20","17","13"
"8","Electrique","1","16","11","9","15","12","17"
"9","Electrique","2","15","9","15","11","17","19"
"10","Finance","2","15","13","16","12","15","18"
"11","Finance","2","18","11","14","11","13","15"
"12","Electrique","1","13","9","17","19","10","13"
"13","Electrique","2","13","15","15","19","19","14"
"14","Info","1","14","15","15","11","15","14"
"15","Electrique","3","19","14","11","16","12","14"
"16","Info","1","16","11","12","13","10","16"
"17","Electrique","3","10","10","10","10","12","17"
"18","Finance","3","18","16","18","10","17","18"
"19","Info","2","10","11","10","9","11","20"
"20","Civil","3","11","10","20","9","17","9"
"21","Electrique","3","15","17","18","16","16","13"
"22","Info","1","12","15","18","13","20","19"
"23","Electrique","1","18","19","11","20","10","18"
"24","Info","2","15","9","11","16","17","15"
"25","Indus","1","12","19","14","10","20","14"
"26","Electrique","1","19","14","9","11","15","12"
"27","Civil","3","12","19","9","18","19","15"
"28","Finance","1","11","18","10","12","15","16"
"29","Electrique","1","11","15","13","9","11","17"
"30","Indus","2","14","18","19","20","11","13"
"31","Civil","1","12","12","9","11","10","19"
"32","Civil","1","20","10","18","17","15","18"
"33","Indus","3","18","10","20","19","9","12"
"34","Finance","1","18","13","15","13","18","17"
"35","Civil","3","18","14","17","16","18","12"
"36","Civil","2","20","11","12","20","19","10"
"37","Info","2","20","19","20","15","18","13"
"38","Info","2","13","13","14","11","15","11"
"39","Finance","2","12","18","20","15","16","14"
"40","Civil","1","13","20","12","15","20","10"
"41","Electrique","2","15","13","14","13","17","12"
"42","Indus","2","13","20","17","14","15","18"
"43","Indus","2","10","12","12","10","16","11"
"44","Indus","3","15","13","18","18","17","15"
"45","Info","1","15","11","15","18","9","15"
"46","Indus","3","18","13","19","10","9","17"
"47","Civil","2","9","17","16","13","15","14"
"48","Indus","3","17","18","18","17","13","20"
"49","Indus","1","19","15","9","13","14","14"
"50","Electrique","1","10","13","10","12","12","18"
"51","Finance","1","15","20","16","15","15","12"
"52","Electrique","1","18","17","13","18","16","10"
"53","Finance","1","10","19","11","18","9","10"
"54","Finance","1","17","14","20","17","9","16"
"55","Info","2","11","20","14","20","13","12"
"56","Electrique","3","12","17","9","18","17","20"
"57","Finance","2","11","11","17","13","18","14"
"58","Finance","2","20","14","10","16","19","12"
"59","Info","2","19","10","11","12","19","16"
"60","Civil","2","14","12","19","9","20","17"
"61","Electrique","2","11","19","11","16","13","17"
"62","Indus","1","18","14","18","19","12","12"
"63","Electrique","1","18","17","13","17","17","14"
"64","Electrique","2","13","17","18","18","19","9"
"65","Finance","3","13","16","12","9","18","12"
"66","Info","1","18","12","13","18","16","17"
"67","Electrique","1","11","11","18","9","18","14"
"68","Finance","3","9","10","11","11","18","18"
"69","Civil","3","19","20","14","15","9","11"
"70","Info","2","9","12","12","16","14","20"
"71","Electrique","2","20","20","10","9","11","18"
"72","Electrique","3","12","19","16","15","16","14"
