"cne","filiere","niveau","noteStage1","lieuxStage1","noteStage2","lieuxStage2","noteStage3","lieuxStage3"
"1","Indus","3","16","Oujda","17","Tanger","16","Agadir"
"2","Finance","2","12","Tanger","17","Casablanca","11","Fes"
"3","Finance","2","12","Agadir","19","Marrakech","19","Nador"
"4","Electrique","1","15","Tanger","12","Marrakech","11","Tetouan"
"5","Civil","1","9","Marrakech","17","Tetouan","14","Tanger"
"6","Finance","2","15","Fes","14","Agadir","13","Casablanca"
"7","Info","2","11","Marrakech","14","Tanger","12","Oujda"
"8","Electrique","1","9","Fes","14","Agadir","11","Marrakech"
"9","Electrique","2","11","Tanger","13","Nador","19","Casablanca"
"10","Finance","2","17","Casablanca","16","Fes","17","Nador"
"11","Finance","2","17","Nador","13","Nador","20","Marrakech"
"12","Electrique","1","17","Tetouan","19","Fes","15","Nador"
"13","Electrique","2","11","Oujda","14","Rabat","20","Oujda"
"14","Info","1","20","Tetouan","15","Rabat","20","Rabat"
"15","Electrique","3","14","Agadir","10","Tanger","11","Nador"
"16","Info","1","19","Nador","16","Oujda","18","Oujda"
"17","Electrique","3","14","Tetouan","20","Tetouan","10","Tetouan"
"18","Finance","3","18","Oujda","16","Agadir","18","Agadir"
"19","Info","2","16","Tanger","15","Fes","11","Agadir"
"20","Civil","3","13","Rabat","16","Nador","14","Marrakech"
"21","Electrique","3","11","Marrakech","12","Marrakech","10","Fes"
"22","Info","1","19","Nador","16","Tetouan","15","Tetouan"
"23","Electrique","1","20","Nador","17","Fes","9","Agadir"
"24","Info","2","12","Agadir","15","Marrakech","19","Agadir"
"25","Indus","1","14","Tetouan","11","Tetouan","14","Rabat"
"26","Electrique","1","18","Tanger","19","Marrakech","20","Oujda"
"27","Civil","3","12","Agadir","19","Casablanca","15","Oujda"
"28","Finance","1","13","Oujda","11","Tanger","18","Marrakech"
"29","Electrique","1","19","Agadir","11","Tetouan","16","Oujda"
"30","Indus","2","15","Tetouan","9","Rabat","16","Tetouan"
"31","Civil","1","18","Marrakech","14","Fes","14","Nador"
"32","Civil","1","18","Fes","20","Marrakech","16","Agadir"
"33","Indus","3","11","Fes","19","Tanger","11","Rabat"
"34","Finance","1","14","Agadir","14","Casablanca","19","Nador"
"35","Civil","3","14","Marrakech","11","Fes","9","Rabat"
"36","Civil","2","18","Oujda","10","Casablanca","11","Tetouan"
"37","Info","2","14","Fes","9","Tetouan","18","Tetouan"
"38","Info","2","19","Tetouan","13","Oujda","19","Oujda"
"39","Finance","2","13","Tetouan","9","Marrakech","19","Tetouan"
"40","Civil","1","20","Tanger","18","Fes","11","Tanger"
"41","Electrique","2","12","Oujda","10","Agadir","13","Casablanca"
"42","Indus","2","9","Rabat","15","Fes","18","Rabat"
"43","Indus","2","19","Fes","17","Nador","11","Nador"
"44","Indus","3","19","Nador","10","Fes","16","Rabat"
"45","Info","1","19","Tetouan","11","Agadir","15","Rabat"
"46","Indus","3","9","Oujda","17","Fes","16","Oujda"
"47","Civil","2","18","Fes","15","Tanger","15","Tanger"
"48","Indus","3","17","Rabat","13","Nador","11","Casablanca"
"49","Indus","1","15","Marrakech","14","Marrakech","20","Agadir"
"50","Electrique","1","18","Agadir","9","Marrakech","18","Fes"
"51","Finance","1","18","Casablanca","14","Fes","12","Rabat"
"52","Electrique","1","11","Fes","18","Marrakech","15","Agadir"
"53","Finance","1","9","Tetouan","11","Marrakech","19","Oujda"
"54","Finance","1","14","Agadir","17","Marrakech","19","Marrakech"
"55","Info","2","11","Rabat","12","Agadir","17","Fes"
"56","Electrique","3","15","Casablanca","9","Agadir","17","Tanger"
"57","Finance","2","17","Casablanca","19","Casablanca","17","Tetouan"
"58","Finance","2","15","Tetouan","13","Tetouan","12","Tetouan"
"59","Info","2","13","Nador","20","Nador","11","Marrakech"
"60","Civil","2","12","Oujda","11","Marrakech","14","Marrakech"
"61","Electrique","2","13","Agadir","20","Oujda","11","Rabat"
"62","Indus","1","11","Tetouan","12","Marrakech","20","Fes"
"63","Electrique","1","11","Agadir","10","Agadir","15","Oujda"
"64","Electrique","2","10","Tanger","18","Tetouan","9","Agadir"
"65","Finance","3","15","Oujda","13","Agadir","19","Agadir"
"66","Info","1","10","Nador","12","Fes","17","Casablanca"
"67","Electrique","1","15","Casablanca","9","Oujda","18","Fes"
"68","Finance","3","20","Agadir","17","Tetouan","20","Marrakech"
"69","Civil","3","13","Casablanca","10","Casablanca","13","Agadir"
"70","Info","2","19","Agadir","12","Marrakech","17","Nador"
"71","Electrique","2","13","Marrakech","11","Tetouan","16","Marrakech"
"72","Electrique","3","11","Tanger","14","Tanger","12","Tanger"
"73","Electrique","3","19","Casablanca","10","Tanger","17","Nador"
"74","Civil","1","15","Nador","10","Agadir","10","Rabat"
"75","Finance","1","11","Fes","20","Fes","15","Tanger"
"76","Finance","2","16","Rabat","14","Marrakech","17","Casablanca"
"77","Info","3","18","Casablanca","16","Oujda","20","Fes"
"78","Info","1","9","Casablanca","10","Marrakech","12","Oujda"
"79","Finance","1","19","Casablanca","11","Tetouan","14","Fes"
"80","Finance","1","20","Tanger","16","Oujda","13","Rabat"
"81","Info","1","12","Rabat","14","Tanger","10","Nador"
"82","Finance","2","11","Rabat","9","Rabat","16","Rabat"
"83","Info","1","14","Fes","10","Tetouan","20","Rabat"
"84","Civil","2","10","Nador","10","Casablanca","16","Tetouan"
"85","Info","3","9","Agadir","20","Oujda","9","Tanger"
"86","Civil","1","14","Marrakech","17","Nador","16","Rabat"
"87","Electrique","1","9","Marrakech","18","Tanger","19","Casablanca"
"88","Info","1","15","Marrakech","15","Fes","15","Fes"
"89","Civil","2","18","Tanger","19","Marrakech","16","Agadir"
"90","Finance","3","11","Tetouan","10","Casablanca","17","Tanger"
"91","Indus","2","15","Casablanca","16","Tetouan","17","Marrakech"
"92","Electrique","3","14","Agadir","20","Rabat","16","Casablanca"
"93","Civil","2","12","Nador","10","Agadir","11","Fes"
"94","Electrique","1","13","Agadir","20","Casablanca","16","Rabat"
"95","Civil","2","18","Oujda","19","Casablanca","18","Fes"
"96","Info","1","18","Rabat","12","Tanger","14","Agadir"
"97","Electrique","3","15","Fes","17","Tetouan","10","Oujda"
"98","Info","2","19","Agadir","14","Tanger","18","Oujda"
"99","Indus","3","11","Nador","14","Tetouan","13","Fes"
"100","Indus","3","19","Marrakech","13","Oujda","11","Nador"
"101","Indus","2","17","Nador","12","Rabat","13","Tetouan"
"102","Finance","2","17","Agadir","14","Marrakech","11","Tetouan"
"103","Finance","3","15","Marrakech","14","Fes","19","Tanger"
"104","Civil","1","20","Nador","12","Marrakech","9","Tetouan"
"105","Info","2","19","Agadir","11","Agadir","14","Rabat"
"106","Electrique","2","19","Marrakech","12","Nador","15","Tanger"
"107","Finance","2","14","Fes","12","Oujda","16","Rabat"
"108","Info","3","20","Tetouan","18","Tetouan","10","Oujda"
"109","Finance","1","10","Fes","11","Tanger","20","Tanger"
"110","Indus","3","14","Marrakech","17","Marrakech","15","Tanger"
"111","Civil","3","20","Fes","11","Nador","20","Tanger"
"112","Finance","1","9","Oujda","15","Tetouan","9","Nador"
"113","Civil","3","13","Nador","17","Tanger","15","Oujda"
"114","Indus","3","9","Tetouan","13","Fes","17","Oujda"
"115","Indus","3","19","Casablanca","15","Rabat","20","Tetouan"
"116","Info","2","12","Nador","14","Tanger","12","Casablanca"
"117","Finance","3","15","Agadir","19","Marrakech","14","Casablanca"
"118","Info","2","16","Oujda","20","Oujda","9","Oujda"
"119","Civil","2","17","Agadir","12","Nador","11","Rabat"
"120","Electrique","1","19","Nador","19","Rabat","15","Tetouan"
"121","Indus","2","19","Agadir","9","Oujda","20","Fes"
"122","Electrique","1","18","Casablanca","15","Nador","12","Tetouan"
"123","Indus","2","19","Agadir","12","Casablanca","17","Casablanca"
"124","Info","3","20","Fes","18","Tetouan","9","Rabat"
"125","Electrique","3","16","Oujda","10","Agadir","10","Tanger"
"126","Finance","1","14","Nador","15","Nador","13","Fes"
"127","Civil","1","13","Oujda","15","Agadir","17","Tanger"
"128","Civil","3","9","Marrakech","12","Casablanca","11","Tanger"
"129","Electrique","2","17","Marrakech","19","Tanger","13","Rabat"
"130","Electrique","3","17","Oujda","16","Tanger","17","Oujda"
"131","Civil","2","16","Oujda","14","Fes","13","Tanger"
"132","Info","1","13","Nador","10","Rabat","12","Agadir"
"133","Civil","2","9","Oujda","15","Casablanca","17","Fes"
"134","Info","2","17","Casablanca","18","Rabat","18","Rabat"
"135","Indus","1","10","Casablanca","19","Rabat","20","Oujda"
"136","Info","2","11","Marrakech","16","Nador","9","Tetouan"
"137","Electrique","2","18","Casablanca","15","Tetouan","12","Tanger"
"138","Indus","1","15","Tanger","11","Oujda","18","Rabat"
"139","Info","2","19","Fes","12","Tanger","11","Tetouan"
"140","Civil","2","13","Rabat","19","Marrakech","9","Agadir"
"141","Indus","3","11","Tetouan","19","Agadir","11","Fes"
"142","Finance","3","11","Oujda","15","Casablanca","12","Nador"
"143","Info","1","12","Rabat","16","Marrakech","18","Oujda"
"144","Civil","1","12","Nador","20","Marrakech","17","Rabat"
"145","Electrique","1","9","Tetouan","18","Marrakech","18","Agadir"
"146","Civil","2","12","Rabat","11","Agadir","20","Agadir"
"147","Electrique","2","11","Casablanca","16","Casablanca","12","Rabat"
"148","Info","2","15","Tetouan","19","Tetouan","17","Agadir"
"149","Electrique","2","14","Oujda","15","Fes","11","Rabat"
"150","Electrique","1","17","Fes","13","Rabat","11","Tanger"
"151","Indus","3","9","Agadir","9","Fes","15","Fes"
"152","Civil","1","9","Nador","11","Tanger","19","Agadir"
"153","Electrique","2","17","Marrakech","20","Casablanca","14","Tetouan"
"154","Finance","3","18","Marrakech","14","Tetouan","9","Agadir"
"155","Civil","3","14","Tanger","18","Marrakech","16","Marrakech"
"156","Finance","3","19","Rabat","16","Tetouan","12","Marrakech"
"157","Indus","3","19","Rabat","20","Tetouan","20","Nador"
"158","Electrique","2","18","Tetouan","10","Tetouan","16","Tetouan"
"159","Info","3","15","Marrakech","14","Marrakech","19","Nador"
"160","Info","1","20","Marrakech","9","Tanger","9","Tanger"
"161","Info","1","20","Marrakech","13","Casablanca","15","Oujda"
"162","Info","3","11","Oujda","19","Tetouan","11","Nador"
"163","Electrique","3","10","Tanger","14","Agadir","15","Tanger"
"164","Civil","2","18","Tanger","11","Tetouan","16","Tanger"
"165","Electrique","2","20","Agadir","17","Fes","20","Nador"
"166","Indus","3","9","Tetouan","9","Fes","16","Marrakech"
"167","Civil","2","13","Nador","12","Nador","13","Fes"
"168","Finance","1","16","Casablanca","12","Fes","16","Tanger"
"169","Info","1","20","Tetouan","19","Tetouan","11","Fes"
"170","Info","3","13","Fes","12","Marrakech","10","Rabat"
"171","Indus","3","12","Agadir","17","Fes","14","Tanger"
"172","Finance","1","17","Fes","9","Tetouan","17","Tetouan"
"173","Electrique","3","9","Tanger","10","Oujda","13","Tetouan"
"174","Info","1","11","Marrakech","20","Casablanca","13","Casablanca"
"175","Indus","1","20","Rabat","12","Oujda","19","Nador"
"176","Electrique","2","15","Tanger","12","Rabat","11","Tetouan"
"177","Electrique","3","15","Marrakech","17","Marrakech","11","Rabat"
"178","Info","1","12","Fes","11","Nador","16","Tanger"
"179","Indus","1","10","Oujda","13","Nador","9","Agadir"
"180","Indus","1","10","Nador","15","Marrakech","12","Tetouan"
"181","Indus","3","18","Casablanca","9","Tetouan","19","Fes"
"182","Indus","2","20","Rabat","16","Casablanca","13","Fes"
"183","Finance","3","14","Agadir","10","Fes","13","Nador"
"184","Finance","3","18","Fes","17","Rabat","15","Agadir"
"185","Finance","2","18","Fes","13","Oujda","15","Tetouan"
"186","Electrique","3","13","Fes","10","Oujda","19","Rabat"
"187","Civil","1","10","Fes","17","Rabat","15","Fes"
"188","Indus","3","10","Marrakech","10","Agadir","14","Agadir"
"189","Finance","2","19","Tetouan","19","Agadir","16","Tetouan"
"190","Info","2","16","Marrakech","18","Casablanca","9","Nador"
"191","Electrique","3","16","Marrakech","18","Rabat","12","Marrakech"
"192","Info","1","14","Casablanca","15","Oujda","15","Marrakech"
"193","Civil","2","14","Fes","12","Fes","20","Tanger"
"194","Finance","2","16","Casablanca","15","Oujda","18","Agadir"
"195","Civil","1","18","Oujda","10","Nador","13","Agadir"
"196","Indus","1","14","Marrakech","10","Casablanca","20","Fes"
"197","Indus","2","12","Oujda","11","Fes","10","Marrakech"
"198","Indus","2","17","Rabat","11","Agadir","9","Nador"
"199","Finance","2","11","Fes","18","Marrakech","14","Casablanca"
"200","Info","1","20","Tetouan","18","Oujda","12","Agadir"
"201","Electrique","2","16","Oujda","18","Oujda","18","Nador"
"202","Civil","2","18","Oujda","12","Oujda","18","Fes"
"203","Info","3","19","Agadir","20","Fes","14","Rabat"
"204","Electrique","2","15","Casablanca","12","Rabat","12","Nador"
"205","Finance","3","13","Casablanca","17","Tetouan","20","Tanger"
"206","Electrique","3","10","Fes","16","Agadir","18","Marrakech"
"207","Info","1","9","Casablanca","20","Rabat","13","Tanger"
"208","Civil","2","9","Fes","16","Nador","19","Tanger"
"209","Civil","2","15","Tanger","19","Fes","13","Nador"
"210","Finance","1","18","Casablanca","17","Marrakech","11","Oujda"
"211","Finance","3","9","Oujda","15","Tanger","17","Rabat"
"212","Finance","1","12","Casablanca","17","Marrakech","15","Fes"
"213","Finance","2","12","Tanger","11","Fes","18","Nador"
"214","Electrique","1","15","Marrakech","18","Tanger","20","Oujda"
"215","Finance","3","10","Marrakech","16","Agadir","14","Rabat"
"216","Finance","2","20","Tanger","17","Tanger","19","Rabat"
"217","Civil","1","15","Nador","14","Tetouan","10","Tetouan"
"218","Electrique","3","10","Fes","17","Oujda","15","Marrakech"
"219","Electrique","2","20","Casablanca","14","Rabat","17","Marrakech"
"220","Civil","1","18","Tetouan","17","Marrakech","15","Fes"
"221","Civil","1","20","Fes","16","Casablanca","16","Marrakech"
"222","Info","2","9","Agadir","11","Oujda","17","Marrakech"
"223","Electrique","3","10","Rabat","19","Casablanca","12","Nador"
"224","Finance","3","17","Casablanca","19","Fes","14","Tanger"
"225","Electrique","3","9","Tetouan","19","Nador","18","Agadir"
"226","Info","3","16","Tanger","11","Marrakech","12","Casablanca"
"227","Electrique","2","16","Tetouan","11","Casablanca","11","Tanger"
"228","Electrique","3","14","Fes","15","Agadir","14","Agadir"
"229","Indus","2","11","Rabat","15","Oujda","13","Fes"
"230","Indus","1","15","Marrakech","9","Nador","11","Oujda"
"231","Indus","2","19","Nador","19","Rabat","12","Fes"
"232","Info","3","13","Casablanca","14","Tanger","11","Tanger"
"233","Finance","3","19","Marrakech","19","Agadir","16","Tanger"
"234","Info","1","9","Rabat","20","Rabat","12","Oujda"
"235","Info","2","10","Fes","13","Nador","17","Oujda"
"236","Indus","1","11","Marrakech","14","Tanger","11","Casablanca"
"237","Indus","3","12","Rabat","9","Tanger","15","Fes"
"238","Electrique","1","12","Oujda","20","Agadir","20","Agadir"
"239","Finance","2","16","Nador","11","Oujda","14","Tanger"
"240","Electrique","2","19","Oujda","16","Casablanca","11","Tanger"
"241","Info","3","14","Oujda","20","Marrakech","14","Rabat"
"242","Electrique","3","19","Fes","16","Marrakech","11","Oujda"
"243","Finance","3","17","Agadir","12","Tanger","15","Rabat"
"244","Electrique","1","18","Tetouan","18","Marrakech","13","Fes"
"245","Indus","1","15","Rabat","18","Rabat","16","Tanger"
"246","Electrique","3","11","Agadir","11","Oujda","11","Fes"
"247","Civil","1","15","Fes","17","Rabat","15","Fes"
"248","Indus","1","9","Agadir","15","Fes","15","Casablanca"
"249","Finance","2","13","Rabat","13","Marrakech","20","Casablanca"
"250","Civil","2","11","Fes","10","Nador","9","Agadir"
"251","Indus","2","15","Oujda","17","Oujda","14","Casablanca"
"252","Indus","2","17","Tanger","9","Fes","17","Marrakech"
"253","Electrique","1","11","Casablanca","9","Casablanca","11","Casablanca"
"254","Info","2","9","Agadir","9","Tetouan","10","Marrakech"
"255","Finance","2","18","Fes","16","Tanger","16","Casablanca"
"256","Finance","1","19","Casablanca","12","Agadir","9","Agadir"
"257","Finance","1","19","Oujda","14","Nador","13","Tanger"
"258","Civil","2","14","Agadir","13","Nador","13","Rabat"
"259","Civil","2","9","Tanger","17","Fes","15","Tetouan"
"260","Finance","1","17","Rabat","17","Casablanca","11","Casablanca"
"261","Civil","2","19","Marrakech","12","Fes","13","Tanger"
"262","Civil","2","16","Marrakech","20","Oujda","10","Tanger"
"263","Finance","3","9","Oujda","19","Tetouan","18","Marrakech"
"264","Civil","3","10","Tetouan","9","Tetouan","20","Rabat"
"265","Finance","3","14","Rabat","10","Rabat","10","Tanger"
"266","Indus","2","9","Tanger","11","Fes","13","Fes"
"267","Indus","2","13","Tetouan","9","Oujda","9","Tetouan"
"268","Finance","1","19","Rabat","16","Nador","19","Rabat"
"269","Finance","2","14","Agadir","18","Oujda","20","Tanger"
"270","Indus","1","10","Tetouan","11","Nador","17","Rabat"
"271","Civil","1","13","Tanger","10","Casablanca","13","Nador"
"272","Electrique","1","14","Agadir","19","Casablanca","10","Marrakech"
"273","Electrique","3","20","Oujda","13","Rabat","11","Oujda"
"274","Electrique","1","18","Fes","11","Tetouan","19","Fes"
"275","Civil","1","19","Nador","15","Nador","10","Agadir"
"276","Indus","1","13","Fes","20","Rabat","9","Casablanca"
"277","Electrique","3","16","Agadir","20","Tanger","12","Tanger"
"278","Civil","3","17","Nador","15","Nador","10","Oujda"
"279","Electrique","3","18","Rabat","10","Tetouan","10","Tetouan"
"280","Indus","1","17","Oujda","15","Casablanca","19","Tetouan"
"281","Electrique","3","19","Marrakech","20","Fes","17","Casablanca"
"282","Electrique","2","11","Oujda","20","Tetouan","19","Tanger"
"283","Finance","1","13","Agadir","14","Oujda","13","Fes"
"284","Civil","2","20","Nador","13","Fes","13","Tanger"
"285","Finance","1","14","Tetouan","14","Oujda","17","Oujda"
"286","Electrique","2","19","Tetouan","9","Agadir","17","Oujda"
"287","Civil","1","20","Tetouan","10","Nador","16","Oujda"
"288","Civil","2","11","Agadir","14","Agadir","9","Casablanca"
"289","Info","2","20","Casablanca","13","Marrakech","12","Oujda"
"290","Finance","1","11","Tanger","14","Marrakech","18","Rabat"
"291","Civil","2","18","Rabat","17","Casablanca","13","Oujda"
"292","Finance","3","20","Rabat","14","Nador","19","Tetouan"
"293","Civil","2","9","Casablanca","15","Marrakech","16","Agadir"
"294","Indus","3","14","Tanger","18","Tanger","17","Nador"
"295","Civil","2","17","Marrakech","9","Rabat","11","Tetouan"
"296","Electrique","2","18","Nador","11","Tanger","10","Agadir"
"297","Info","3","10","Rabat","14","Nador","12","Tetouan"
"298","Finance","3","10","Oujda","13","Tanger","9","Marrakech"
"299","Civil","2","12","Fes","11","Casablanca","15","Marrakech"
"300","Indus","1","10","Tetouan","16","Fes","11","Oujda"
"301","Civil","1","14","Casablanca","18","Nador","15","Fes"
"302","Info","2","9","Fes","11","Marrakech","20","Agadir"
"303","Civil","1","19","Tanger","16","Casablanca","19","Casablanca"
"304","Info","3","9","Oujda","13","Tetouan","20","Nador"
"305","Electrique","2","16","Tanger","10","Tanger","13","Oujda"
"306","Civil","3","15","Agadir","11","Tetouan","15","Rabat"
"307","Indus","2","17","Oujda","14","Fes","13","Tanger"
"308","Info","2","13","Marrakech","11","Nador","18","Nador"
"309","Civil","3","16","Oujda","18","Tetouan","16","Fes"
"310","Indus","2","19","Agadir","20","Rabat","10","Oujda"
"311","Electrique","3","16","Agadir","15","Fes","13","Oujda"
"312","Civil","3","15","Marrakech","11","Nador","19","Nador"
"313","Electrique","3","17","Tanger","15","Oujda","12","Tetouan"
"314","Indus","1","17","Casablanca","15","Rabat","12","Fes"
"315","Finance","1","10","Agadir","12","Agadir","14","Fes"
"316","Electrique","2","19","Agadir","10","Rabat","12","Agadir"
"317","Civil","1","10","Oujda","10","Rabat","14","Oujda"
"318","Electrique","3","10","Marrakech","13","Tanger","16","Tanger"
"319","Indus","3","20","Casablanca","16","Marrakech","12","Marrakech"
"320","Info","3","13","Casablanca","10","Oujda","16","Tanger"
"321","Indus","2","15","Agadir","18","Casablanca","13","Tanger"
"322","Finance","3","18","Nador","14","Tanger","13","Fes"
"323","Finance","1","11","Rabat","14","Marrakech","9","Casablanca"
"324","Civil","2","11","Rabat","14","Marrakech","11","Marrakech"
"325","Finance","2","20","Tetouan","9","Fes","17","Agadir"
"326","Electrique","2","16","Oujda","20","Agadir","19","Nador"
"327","Finance","1","17","Tetouan","9","Casablanca","9","Casablanca"
"328","Finance","3","14","Fes","18","Oujda","20","Tetouan"
"329","Info","1","13","Agadir","9","Tanger","15","Rabat"
"330","Civil","1","15","Marrakech","20","Tanger","17","Marrakech"
"331","Info","1","9","Casablanca","9","Tanger","13","Tetouan"
"332","Civil","2","19","Tetouan","18","Tetouan","20","Casablanca"
"333","Civil","3","14","Fes","16","Fes","11","Oujda"
"334","Info","3","9","Agadir","16","Nador","17","Tanger"
"335","Electrique","1","11","Agadir","9","Marrakech","11","Marrakech"
"336","Info","3","19","Tetouan","17","Rabat","9","Tanger"
"337","Civil","3","19","Agadir","18","Marrakech","20","Fes"
"338","Civil","2","12","Agadir","18","Tetouan","13","Casablanca"
"339","Electrique","1","19","Rabat","12","Fes","14","Rabat"
"340","Electrique","1","15","Oujda","19","Marrakech","14","Agadir"
"341","Info","3","15","Agadir","12","Agadir","17","Casablanca"
"342","Civil","2","20","Tetouan","17","Fes","11","Tanger"
"343","Civil","2","12","Fes","15","Oujda","17","Tanger"
"344","Info","3","19","Tetouan","14","Nador","16","Tanger"
"345","Finance","2","13","Oujda","10","Oujda","12","Rabat"
"346","Electrique","3","18","Nador","11","Casablanca","11","Agadir"
"347","Finance","3","13","Agadir","14","Tetouan","12","Oujda"
"348","Electrique","3","17","Agadir","17","Casablanca","14","Marrakech"
"349","Finance","3","10","Tanger","12","Tanger","20","Casablanca"
"350","Info","1","12","Oujda","19","Rabat","15","Marrakech"
"351","Info","1","14","Tanger","20","Nador","12","Marrakech"
"352","Indus","1","10","Oujda","12","Agadir","14","Tetouan"
"353","Info","1","9","Marrakech","11","Marrakech","9","Marrakech"
"354","Finance","1","15","Casablanca","14","Tanger","16","Fes"
"355","Finance","3","17","Marrakech","12","Marrakech","12","Tetouan"
"356","Info","3","19","Tanger","17","Marrakech","9","Agadir"
"357","Indus","1","12","Marrakech","9","Nador","12","Marrakech"
"358","Electrique","3","11","Agadir","17","Casablanca","17","Oujda"
"359","Electrique","2","15","Tanger","20","Casablanca","15","Oujda"
"360","Indus","2","13","Oujda","19","Rabat","10","Tanger"
"361","Info","1","18","Casablanca","9","Casablanca","15","Fes"
"362","Civil","1","10","Tetouan","10","Agadir","19","Casablanca"
"363","Info","3","13","Marrakech","16","Tanger","15","Tetouan"
"364","Civil","2","9","Rabat","11","Agadir","9","Casablanca"
"365","Indus","2","18","Oujda","18","Oujda","20","Tetouan"
"366","Civil","3","16","Tanger","16","Tanger","13","Casablanca"
"367","Electrique","1","9","Rabat","16","Casablanca","12","Rabat"
"368","Finance","1","14","Marrakech","10","Oujda","15","Nador"
"369","Civil","3","16","Nador","16","Agadir","15","Rabat"
"370","Indus","3","15","Agadir","19","Marrakech","15","Fes"
"371","Civil","3","12","Oujda","11","Tanger","12","Rabat"
"372","Finance","2","20","Fes","11","Agadir","18","Tetouan"
"373","Finance","2","14","Marrakech","13","Rabat","12","Tetouan"
"374","Info","3","10","Fes","9","Nador","18","Rabat"
"375","Info","2","16","Nador","16","Nador","9","Rabat"
"376","Electrique","1","14","Casablanca","14","Oujda","15","Tanger"
"377","Info","1","20","Agadir","20","Tetouan","16","Marrakech"
"378","Electrique","1","19","Oujda","17","Tanger","9","Casablanca"
"379","Info","2","18","Marrakech","17","Tetouan","10","Fes"
"380","Indus","3","19","Tetouan","16","Agadir","13","Nador"
"381","Indus","2","13","Nador","10","Fes","19","Tetouan"
"382","Electrique","3","14","Rabat","15","Nador","17","Nador"
"383","Electrique","2","11","Tetouan","19","Nador","11","Oujda"
"384","Info","3","9","Nador","14","Tanger","17","Tanger"
"385","Indus","1","16","Tanger","17","Tanger","10","Nador"
